rank,country,lower_single_house_elections,lower_single_house_seats,lower_single_house_women,lower_single_house_percent_w,upper_house_senate_elections,upper_house_senate_seats,upper_house_senate_women,upper_house_senate_percent_w,lower_single_house_elections_year,upper_house_senate_elections_year
54,Ecuador,1998-05-01,123.0,18.0,0.14634146341463414,,0.0,0.0,,1998,NaT
55,Andorra,2001-03-01,28.0,4.0,0.14285714285714285,,0.0,0.0,,2001,NaT
56,United States of America,2000-11-01,435.0,61.0,0.14022988505747128,2000-11-01,100.0,13.0,0.13,2000,2000
57,Ireland,2002-05-01,166.0,22.0,0.13253012048192772,1997-08-01,60.0,11.0,0.18333333333333332,2002,1997
"""",Israel,1999-05-01,120.0,16.0,0.13333333333333333,,0.0,0.0,,1999,NaT
58,Republic of Moldova,2001-02-01,101.0,13.0,0.12871287128712872,,0.0,0.0,,2001,NaT
59,Tajikistan,2000-02-01,63.0,8.0,0.12698412698412698,2000-03-01,34.0,4.0,0.11764705882352941,2000,2000
60,Chile,2001-12-01,120.0,15.0,0.125,2001-12-01,49.0,2.0,0.04081632653061224,2001,2001
61,France,2002-06-01,577.0,71.0,0.12305025996533796,2001-09-01,321.0,35.0,0.10903426791277258,2002,2001
62,Slovenia,2000-10-01,90.0,11.0,0.12222222222222222,,0.0,0.0,,2000,NaT
63,Uruguay,1999-10-01,99.0,12.0,0.12121212121212122,1999-10-01,31.0,3.0,0.0967741935483871,1999,1999
64,Colombia,2002-03-01,166.0,20.0,0.12048192771084337,2002-03-01,102.0,9.0,0.08823529411764706,2002,2002
"""",Liechtenstein,2001-02-01,25.0,3.0,0.12,,0.0,0.0,,2001,NaT
"""",Zambia,2001-12-01,158.0,19.0,0.12025316455696203,,0.0,0.0,,2001,NaT
65,Singapore,2001-11-01,85.0,10.0,0.11764705882352941,,0.0,0.0,,2001,NaT
66,Burkina Faso,2002-05-01,111.0,13.0,0.11711711711711711,,0.0,0.0,,2002,NaT
67,Tunisia,1999-10-01,182.0,21.0,0.11538461538461539,,0.0,0.0,,1999,NaT
68,Cape Verde,2001-01-01,72.0,8.0,0.1111111111111111,,0.0,0.0,,2001,NaT
"""",Saint Lucia,2001-12-01,18.0,2.0,0.1111111111111111,1997-05-01,11.0,2.0,0.18181818181818182,2001,1997
69,Morocco,2002-09-01,325.0,35.0,0.1076923076923077,2001-09-01,270.0,1.0,0.003703703703703704,2002,2001
70,Barbados,1999-01-01,28.0,3.0,0.10714285714285714,1999-01-01,21.0,7.0,0.3333333333333333,1999,1999
71,Lithuania,2000-10-01,141.0,15.0,0.10638297872340426,,0.0,0.0,,2000,NaT
72,Azerbaijan,2000-11-01,124.0,13.0,0.10483870967741936,,0.0,0.0,,2000,NaT
73,Kazakhstan,1999-10-01,77.0,8.0,0.1038961038961039,1999-09-01,39.0,5.0,0.1282051282051282,1999,1999
